#,Date,Lecture Title,Required Readings,Skim Readings
1,9/2/2025,The Big Picture and Syllabus Introduction,,
2,9/4/2025,Introduction to Global Sustainability Economics,"Chaplin-Kramer et al. (2023), Johnson et al. (2023b), Johnson et al. (2025)",
3,9/9/2025,Global Sustainability in General Equilibrium,Banerjee et al. - 2020 - Global socio-economic impacts of changes in natura.pdf,"Dasgupta - 2021 - The economics of biodiversity the Dasgupta review.pdf, Arrow et al. - 1995 - Economic growth, carrying capacity, and the enviro.pdf"
4,9/11/2025,Scenarios for the Future and Land-use Change Modeling,"Popp et al. - 2017 - Land-use futures in the shared socio-economic path.pdf, Hurtt et al. - 2020 - Harmonization of global land use change and manage.pdf",
5,9/16/2025,"Hands on with Climate change, Climate IAMs and Green DICE","Moore et al. (2022) “Determinants of Emissions Pathways in the Coupled Climate–Social System.” Nature 603, no. 7899 (March 2022): 103–11. https://doi.org/10.1038/s41586-022-04423-8.","Nordhaus climate clubs. Polasky, Mason, et al. enforcable agreement"
6,9/18/2025,"Inclusive Wealth, Changing Wealth of Nations, Ecosystem Services",Polasky et al. - 2015 - Inclusive Wealth as a Metric of Sustainable Develo.pdf,"Solow - 1974 - Intergenerational Equity and Exhaustible Resources.pdf, World Bank - 2021 - The Changing Wealth of Nations 2021 Managing Asse.pdf"
7,9/23/2025,Hands on with Ecosystem services - Part 1,"PolaskySegerson2009IntegratingEcologyEconomics.pdf, Nairobi-Water-Fund-Business-Case_FINAL.pdf",FenichelAbbott2014NaturalCapital.pdf
8,9/25/2025,Hands on with Ecosystem services - Part 2,Chaplin-Kramer et al. (2019),
9,9/30/2025,Hands on with Computable General Equilibrium - Part 1,Shoven and Whalley - 1984 - Applied General-Equilibrium Models of Taxation and.pdf,"Structure of GTAP - Chapters 2-6 - Hertel.pdf, Hertel - 1997 - Global Trade Analysis Modeling and applications.pdf"
10,10/2/2025,Hands on with Computable General Equilibrium - Part 2,"Corong et al. - 2017 - The Standard GTAP Model, Version 7.pdf",
11,10/6/2025,"Linking models of land-use change modeling, ecosystem services and macroeconomy",Verburg and Overmars - 2009 - Combining top-down and bottom-up dynamics in land .pdf,"Banerjee et al. - 2019 - Evaluating synergies and trade-offs in achieving t.pdf, 
 Schulze et al. - 2021 - How will land degradation neutrality change future.pdf, 
 Verburg et al. - 2021 - The Integrated Economic-Environmental Modeling (IE.pdf, Wolff et al. - 2018 - Meeting global land restoration and protection tar.pdf"
12,10/8/2025,GTAP-InVEST,Johnson et al. 2023,
13,10/14/2025,"Topics within CGEs, Gridded Economic Analysis, National scale, R&D","Baldos et al. - 2019 - R&D Spending, Knowledge Capital, and Agricultural .pdf, Baldos et al. - 2020 - SIMPLE-G A multiscale framework for integration o.pdf, Baldos and Hertel - 2014 - Global food security in 2050 the role of agricult.pdf","Liu et al. - 2017 - Achieving sustainable irrigation water withdrawals.pdf, Banerjee et al. - 2019 - Evaluating synergies and trade-offs in achieving t.pdf"
14,10/16/2025,Season Finale and Student Presentations,,